Gender,Year of birth,Where were you born,Height,Height father,Height mother,Bed time,Waking up time,Breakfast,Commute today,Commute yesterday,Glasses,Number of books per month,Pets,Brothers,Sisters,Exercise,Gym,Running,Hours Slept
Male,1997,I am not born in the UK,165 cm,160 cm,155 cm,21:00,9:00,Yes,30,25,Yes,2,I like both,0,0,2,0,2,12
Female,2002,Oxfordshire,167 cm,NA,NA,23:30,6:00,Yes,30,30,Sometimes,0,I like both,2,0,5,0,1,6.5
Male,1998,Lincolnshire,185 cm,NA,NA,23:40,7:30,Yes,15,15,No,1,I like both,2,1,7,4,1,7.83
Male,2001,Oxfordshire,185 cm,200 cm,160 cm,23:30,8:30,Yes,30,35,No,5,I like both,0,1,3,0,1,9
Female,2001,I am not born in the UK,5 ft 7,NA,NA,22:30,6:00,Yes,36,40,No,1,I like both,1,0,5,0,0,7.5
Female,2003,Greater London,173 cm,180 cm,160 cm,23:20,10:00,No,25,20,Yes,1,Dogs,1,0,2,0,2,10.67
Female,1998,I am not born in the UK,5 ft 6,6 ft 2,5 ft 7,23:00,7:00,Yes,20,20,Yes,4,I like both,2,0,5,0,2,8
Female,2003,Devon,5 ft 1,6 ft 0,5 ft 0,0:20,9:40,No,10,25,Yes,0,Dogs,0,1,6,2,2,9.33
Female,2002,I am not born in the UK,5 ft 4,5 ft 9,5 ft 4,23:32,7:38,Yes,26,24,Sometimes,3,I like both,0,0,5,0,2,8.1
Female,2002,I am not born in the UK, 5 ft 0,6 ft 0,4 ft 11,23:50,6:30,Yes,15,20,Yes,1,I like both,0,1,3,0,0,6.67
Female,1997,Nottingham,163 cm,178 cm,157 cm,1:30,10:30,No,10,10,No,1,Cats,0,1,2,0,2,9
Female,1997,Hampshire,167 cm,188 cm,167 cm,23:00,7:10,Yes,22,16,Sometimes,3,I like both,1,1,4,0,1,8.17
Female,2003,Greater Manchester,5 ft 4,6 ft 1,5 ft 2,4:00,11:00,No,30,30,Sometimes,2,I like both,1,1,5,2,1,7
Female,2003,Essex,5 ft 6,5 ft 7,6 ft 0,23:00,8:00,Yes,30,30,No,2,I like both,1,1,5,0,0,9
Female,2002,I am not born in the UK,5 ft 5,5 ft 8,5 ft 7,23:00,7:00,No,15,15,No,1,Cats,0,2,4,0,0,8
Female,2001,Cambridgeshire,5 ft 4,5 ft 11,5 ft 4,23:30,7:30,Yes,20,20,No,1,Dogs,1,1,2,0,1,8
Female,2002,Hertfordshire,5 ft 8,6 ft 4,5 ft 7,22:30,8:00,Yes,30,30,Yes,3.5,I like both,0,1,3,1,2,9.5
Male,2001,Greater London,6 ft 1,6 ft 2,5 ft 6,22:30,7:20,Yes,15,20,No,4,I like both,2,1,5,0,1,8.83
Female,2000,I am not born in the UK,160 cm,175 cm,150 cm,0:00,7:00,Yes,35,20,Yes,1,Cats,1,1,3,0,0,7
Female,2001,I am not born in the UK,5 ft 8,6 ft 2,5 ft 7,22:40,7:30,Yes,20,20,Yes,3,I like both,0,0,6,0,0,8.83
Male,2002,Devon,6 ft 0,5 ft 11,5 ft 6,0:00,7:30,Yes,15,15,No,0,I like both,1,0,6,0,0,7.5
Male,1999,Wiltshire,6 ft 0,5 ft 10,5 ft 2,23:30,7:00,Yes,40,45,No,1,I like both,3,0,3,0,2,7.5
Male,2003,I am not born in the UK,174 cm,179 cm,171 cm,23:50,7:30,Yes,5,5,Sometimes,0,I like both,1,0,5,0,0,7.67
Male,2000,Peterborough,167 cm,175 cm,160 cm,20:00,7:30,Yes,15,15,No,0,Dogs,1,0,2,0,0,11.5
Female,1997,Greater London,175 cm,187 cm,173 cm,2:30,8:00,Yes,15,15,No,1,Dogs,1,1,3,0,0,5.5
Female,2002,West Yorkshire,5 ft 2,5 ft 8,5 ft 2,22:00,7:00,Yes,15,15,Yes,2,I like both,0,1,2,2,0,9
Female,2001,I am not born in the UK,6 ft 0,6 ft 4,5 ft 4,23:00,6:20,Yes,25,25,Yes,1,I like both,1,0,4,0,0,7.33
Male,2002,Surrey,5 ft 7,6 ft 1,5 ft 4,22:30,7:35,Yes,10,10,No,0,I like both,1,1,7,6,1,9.08
Male,2000,I am not born in the UK,185 cm,185 cm,164 cm,0:00,7:30,Yes,15,15,No,0,I like both,1,1,6,5,1,7.5
Female,2000,Cornwall,5 ft 7,6 ft 0,5 ft 7,22:30,7:00,Yes,15,10,Yes,1,I like both,1,0,3,0,0,8.5
Male,2002,Oxfordshire,1.88 m,5 ft 10,5 ft 7,23:00,8:15,Yes,19,17,No,3,Dogs,2,0,7,6,1,9.25
Female,1997,I am not born in the UK,168 cm,182 cm,155 cm,23:30,9:00,Yes,10,10,No,1,I like both,1,1,5,3,2,9.5
Female,2002,I am not born in the UK,5 ft 3,5 ft 8,5 ft 6,23:30,8:45,Yes,30,30,Yes,1,Dogs,1,0,4,3,0,9.25
Female,1999,I am not born in the UK,5 ft 7,5 ft 10,5 ft 5,22:25,7:15,Yes,20,25,No,2,I like both,0,1,3,0,0,8.83
Female,2002,Bristol,5 ft 10,6 ft 4,5 ft 7,1:05,7:00,Yes,15,10,No,3,I like both,0,1,5,0,0,5.92
Female,2000,I am not born in the UK,5 ft 0,5 ft 10,5 ft 11,2:20,7:55,Yes,NA,NA,Yes,2,Dogs,0,0,2,0,0,5.58
Male,2001,West Midlands,5 ft 11,5 ft 11,5 ft 7,23:30,8:00,Yes,15,20,Yes,2,I like both,0,2,5,0,0,8.5
Female,2000,West Sussex,5 ft 4,NA,NA,0:30,9:00,No,20,20,Yes,1,Dogs,0,1,2,0,0,8.5
Female,2002,Greater London,172 cm,NA,169 cm,23:05,6:15,Yes,60,60,Yes,0,I like neither,0,0,9,2,2,7.17
Female,1997,I am not born in the UK,1.65 m,NA,NA,22:45,7:00,Yes,27,26,Yes,0.5,Dogs,0,1,6,5,1,8.25
Female,1998,Hampshire,5 ft 8,NA,NA,22:45,7:45,Yes,40,55,No,NA,Dogs,3,0,5,0,3,9
Female,1999,Cumbria,5 ft 6,5 ft 8,5 ft 5,23:00,7:30,Yes,20,15,No,2,I like both,0,1,2,0,2,8.5
Female,2002,I am not born in the UK,168 cm,186 cm,167 cm,23:45,8:30,Yes,25,30,Yes,1,Cats,0,1,7,2,2,8.75
Female,2001,Greater Manchester,5 ft 9,6 ft 1,5 ft 8,23:30,8:00,Yes,30,30,No,1,Dogs,1,0,4,0,3,8.5
Female,2002,Leicestershire,5 ft 8,6 ft 2,5 ft 9,0:00,8:30,Yes,15,15,No,0,Dogs,2,0,6,2,4,8.5
Female,2000,I am not born in the UK,171 cm,182 cm,167 cm,23:20,9:00,Yes,30,30,Yes,0,I like both,0,1,3,1,1,9.67
Male,1998,Essex,175 cm,178 cm,154 cm,0:30,8:15,Yes,30,25,No,1,Dogs,1,1,4,0,0,7.75
Female,1998,Buckinghamshire,5 ft 4,NA,5 ft 4,1:00,9:30,Yes,NA,45,No,1,Dogs,0,1,5,0,4,8.5
Other,1993,No answer,5 ft 6,NA,NA,20:30,5:36,Yes,25,20,No,5,I like both,1,0,5,0,0,9.1
Female,2003,Greater London,5 ft 7 ,6 ft 1,5 ft 6,0:05,11:30,Yes,45,45,Yes,2,Cats,1,0,4,0,0,11.42
Female,2002,Scotland,5 ft 9,5 ft 11,5 ft 6,1:00,9:00,No,6,6,No,4,I like both,2,0,7,3,0,8
Female,2002,Cambridgeshire,5 ft 4,NA,NA,0:30,7:00,No,12,12,Yes,0,I like both,0,1,4,0,1,6.5
Male,2003,Cheshire West and Chester,5 ft 11,6 ft 0,5 ft 9,0:15,9:15,Yes,15,15,No,1,Dogs,2,0,5,0,2,9
Female,1995,I am not born in the UK,163 cm,NA,NA,0:00,9:00,Yes,40,40,Yes,2,I like both,0,1,3,0,0,9
Female,1999,Kent,5 ft 1,5 ft 8,5 ft 6,0:20,7:45,No,12,11,Yes,2,I like both,1,0,1,0,0,7.42
Female,2002,Cambridgeshire,5 ft 6,179 cm,5 ft 5,23:40,8:30,Yes,20,30,No,1,Dogs,0,1,2,0,0,8.83
Female,2001,I am not born in the UK,5 ft 6,6 ft,5 ft 3,1:45,8:20,Yes,35,35,Yes,0,I like both,1,1,2,0,0,6.58
Female,2002,West Midlands,5 ft 7,NA,5 ft 2,23:00,9:00,Yes,10,10,No,0,Cats,0,2,3,0,0,10
Female,1999,Hampshire,163 cm,NA,NA,22:30,7:40,Yes,45,45,Yes,1,I like both,3,0,2,1,1,9.17
Female,2002,Surrey,5 ft 6,5 ft 9,5 ft 7,1:37,9:45,Yes,30,15,Yes,1,Cats,0,1,3,0,0,8.13
Female,2003,Isles of Scilly,5 ft 4,6 ft 0,5 ft 6,22:30,7:00,No,20,20,No,6,I like both,2,1,4,0,0,8.5
Female,2003,Bristol,5 ft 1,6 ft 1,5 ft 3,0:00,8:00,No,40,40,No,0,Dogs,1,0,2,0,0,8
Male,2002,Cornwall,6 ft 0,5 ft 10,5 ft 4,22:30,7:00,Yes,20,25,Yes,1,Dogs,0,1,3,0,1,8.5
Female,2000,I am not born in the UK,5 ft 9,6 ft 2,5 ft 7,1:00,7:30,Yes,30,30,Yes,1,Dogs,2,1,5,0,3,6.5
Female,2002,I am not born in the UK,5 ft 1,6 ft 5,5 ft 2,2:00,8:00,No,30,25,No,0,I like both,1,2,7,4,2,6
Female,1999,Buckinghamshire,5 ft 3,5 ft 9,5 ft 3,23:00,7:45,Yes,45,30,No,2,Dogs,0,1,9,0,5,8.75
Female,1997,I am not born in the UK,150 cm,173 cm,152 cm,23:00,6:30,No,5,5,Sometimes,2,Cats,0,1,2,0,0,7.50
Female,2003,I am not born in the UK,175 cm,NA,NA,22:30,8:00,Yes,30,20,Yes,1,I like both,0,1,5,0,0,9.50
Male,2001,I am not born in the UK,175 cm ,168 cm,154 cm ,22:30,6:55,Yes,10,15,No,0,I like both,0,1,6,6,0,8.42
Female,1982,Somerset,5 ft 3,NA,NA,21:00,6:45,No,20,20,Yes,1,I like both,0,3,2,0,0,9.75
Male,2002,I am not born in the UK,185 cm,173 cm,175 cm,2:30,7:30,No,40,40,No,2,I like both,1,0,5,5,0,5
Male,2003,Derbyshire,5 ft 11,6 ft 0,5 ft 5,1:36,8:20,Yes,20,20,No,2,I like both,1,1,5,5,0,6.73
Male,2001,I am not born in the UK,180 cm,NA,NA,22:00,6:30,Yes,15,15,Yes,2,I like both,2,2,3,0,0,8.5
Male,1983,Wiltshire,6 ft 0,5 ft 10,5 ft 9,22:45,6:15,Yes,35,25,No,3,I like both,0,1,3,2,1,7.5
Male,2001,I am not born in the UK,5 ft 8,5 ft 9,5 ft 5,22:07,7:00,Yes,2,3,No,1,Dogs,0,1,8,5,3,8.88
Female,2001,Northumberland,5 ft 3,5 ft 7,5 ft 5,2:30,11:00,No,10,10,Yes,0,I like both,0,0,1,0,0,8.5
Female,2001,I am not born in the UK,154 cm,NA,160 cm,22:00,9:00,Yes,5,5,Yes,1,Cats,1,1,3,0,0,11
Female,1997,I am not born in the UK,170 cm,185 cm,175 cm,1:00,7:00,Yes,45,45,No,1,I like both,1,0,7,2,3,6
Male,1998,I am not born in the UK,183 cm,177 cm,178 cm,3:37,7:42,Yes,35,20,Yes,1,I like both,1,0,1,0,0,4.08
Female,1998,I am not born in the UK,156 cm,NA,162 cm,1:00,8:30,Yes,15,15,No,10,I like both,0,0,4,0,0,7.5
Male,2002,Northamptonshire,5 ft 11,6 ft 1,5 ft 4,2:05,10:09,No,20,25,Yes,1,Dogs,1,0,3,0,0,8.07
Male,2003,South Yorkshire,5 ft 7,6 ft,5 ft 4,1:00,10:00,Yes,20,20,No,1,Cats,0,1,5,0,0,9
Female,2002,Greater London,173 cm,6 ft 4,5 ft 7,1:30,9:30,No,15,15,No,1,Dogs,1,0,1,0,0,8
Female,2002,I am not born in the UK,5 ft 7,5 ft 8,5 ft 4,23:00,9:44,No,20,20,Yes,1,Cats,1,0,3,1,2,10.73
Female,2001,I am not born in the UK,5 ft 4,6 ft 1,5 ft 3,0:30,10:00,Yes,16,16,No,1,Dogs,0,2,4,1,0,9.5
Male,2019,I am not born in the UK,6 ft 3,6 ft 0,5 ft 8,3:30,7:30,No,7,8,Yes,3,Dogs,0,1,4,4,0,4
Female,2000,I am not born in the UK,167 cm,NA,NA,23:50,9:00,Yes,15,15,Yes,2,I like both,1,1,10,7,0,9.17
Female,2002,Devon,5 ft 5,5 ft 10,5 ft 8,0:30,8:00,Yes,10,10,No,1,I like both,0,3,3,0,0,7.5
Female,2003,Buckinghamshire,5 ft 3,NA,NA,23:00,7:30,Yes,20,20,No,0,I like both,1,0,3,3,0,8.5
Male,1998,Cornwall,186 cm,180 cm,170 cm,23:15,7:25,Yes,35,30,Yes,1,I like both,2,0,7,3,2,8.17
Female,2000,I am not born in the UK,161 cm,189 cm,146 cm,0:00,7:30,No,35,1,No,1,Cats,2,3,10,5,2,7.5
Male,2002,Medway,6 ft 1,6 ft 0,5 ft 4,23:15,7:45,Yes,14,14,No,1,I like both,0,1,5,0,2,8.5